Row,Start,End,Launch Vehicle,Mission,Program,DurationDays,DurationHours,DurationMins,DurationSecs,,,
1152,"Wed Feb 07, 2001 23:13 UTC","Tue Feb 20, 2001 20:13:00 UTC",Atlantis,STS-98,Space Shuttle,12d,21h,0m,0s,,,
1149,"Thu Mar 08, 2001 11:42 UTC","Wed Mar 21, 2001 06:42:00 UTC",Discovery,STS-102,Space Shuttle,12d,19h,0m,0s,,,
1144,"Thu Apr 19, 2001 18:40 UTC","Tue May 01, 2001 15:40:00 UTC",Endeavour,STS-100,Space Shuttle,11d,21h,0m,0s,,,
1143,"Sat Apr 28, 2001 07:37 UTC","Wed Oct 31, 2001 05:00:00 UTC",Soyuz U,Soyuz TM-32,International Space Station,185d,21h,23m,0s,,,
1137,"Thu Jul 12, 2001 09:03 UTC","Wed Jul 25, 2001 03:03:00 UTC",Atlantis,STS-104,Space Shuttle,12d,18h,0m,0s,,,
1131,"Fri Aug 10, 2001 21:10 UTC","Wed Aug 22, 2001 18:10:00 UTC",Discovery,STS-105,Space Shuttle,11d,21h,0m,0s,,,
1130,"Sat Oct 21, 2001 08:59 UTC","Sun May 05, 2002 03:51:00 UTC",Soyuz U,Soyuz TM-33,International Space Station,195d,18h,52m,0s,,,
1118,"Wed Dec 05, 2001 22:19 UTC","Mon Dec 17, 2001 17:19:00 UTC",Endeavour,STS-108,Space Shuttle,11d,19h,0m,0s,,,
1105,"Fri Mar 01, 2002 11:22 UTC","Tue Mar 12, 2002 09:22:00 UTC",Columbia,STS-109,Space Shuttle,10d,22h,0m,0s,,,
1099,"Mon Apr 08, 2002 20:44 UTC","Fri Apr 19, 2002 15:44:00 UTC",Atlantis,STS-110,Space Shuttle,10d,19h,0m,0s,,,
1098,"Thu Apr 25, 2002 06:26 UTC","Sun Nov 10, 2002 00:04:00 UTC",Soyuz U,Soyuz TM-34,International Space Station,198d,17h,38m,0s,,,
1092,"Wed Jun 05, 2002 21:22 UTC","Wed Jun 19, 2002 17:22:00 UTC",Endeavour,STS-111,Space Shuttle,13d,20h,0m,0s,,,
1076,"Mon Oct 07, 2002 19:45 UTC","Fri Oct 18, 2002 14:45:00 UTC",Atlantis,STS-112,Space Shuttle,10d,19h,0m,0s,,,
1075,"Wed Oct 30, 2002 03:11 UTC","Sun May 04, 2003 02:04:00 UTC",Soyuz FG,Soyuz TMA-1,International Space Station,185d,22h,53m,0s,,,
1073,"Sun Nov 24, 2002 00:49 UTC","Sat Dec 07, 2002 18:49:00 UTC",Endeavour,STS-113,Space Shuttle,13d,18h,0m,0s,,,
1062,"Thu Jan 16, 2003 15:39 UTC","Sat Feb 01, 2003 13:39:00 UTC",Columbia,STS-107,Space Shuttle,15d,22h,0m,0s,,,
1061,"Sat Apr 26, 2003 03:53 UTC","Tue Oct 28, 2003 02:39:00 UTC",Soyuz FG,Soyuz TMA-2,International Space Station,184d,22h,46m,0s,,,
1060,"Sat Oct 18, 2003 05:38 UTC","Fri Apr 30, 2004 00:11:00 UTC",Soyuz FG,Soyuz TMA-3,International Space Station,194d,18h,33m,0s,,,
1059,"Mon Apr 19, 2004 03:19 UTC","Sat Oct 23, 2004 16:41:00 UTC",Soyuz FG,Soyuz TMA-4,International Space Station,187d,13h,22m,0s,,,
1058,"Thu Oct 14, 2004  03:06 UTC","Sun Apr 24, 2005 22:02:00 UTC",Soyuz FG,Soyuz TMA-5,International Space Station,192d,19h,2m,0s,,,
1057,"Fri Apr 15, 2005 00:46 UTC","Tue Oct 11, 2005 00:46:00 UTC",Soyuz FG,Soyuz TMA-6,International Space Station,179d,0h,0m,0s,,,
953,"Tue Jul 26, 2005 14:39 UTC","Tue Aug 09, 2005 11:39:00 UTC",Discovery,STS-114,Space Shuttle,13d,21h,0m,0s,,,
952,"Sat Oct 01, 2005 03:55 UTC","Sat Apr 08, 2006 23:48:00 UTC",Soyuz FG,Soyuz TMA-7,International Space Station,189d,19h,53m,0s,,,
950,"Thu Mar 30, 2006 02:30 UTC","Fri Sep 29, 2006 01:30:00 UTC",Soyuz FG,Soyuz TMA-8,International Space Station,182d,23h,0m,0s,,,
914,"Tue Jul 04, 2006 18:37 UTC","Mon Jul 17, 2006 12:37:00 UTC",Discovery,STS-121,Space Shuttle,12d,18h,0m,0s,,,
905,"Sat Sep 09, 2006 15:14 UTC","Thu Sep 21, 2006 10:14:00 UTC",Atlantis,STS-115,Space Shuttle,11d,19h,0m,0s,,,
904,"Mon Sep 18, 2006 04:08 UTC","Sat Apr 21, 2007 12:30:00 UTC",Soyuz FG,Soyuz TMA-9,International Space Station,215d,8h,22m,0s,,,
891,"Sun Dec 10, 2006 00:47 UTC","Fri Dec 22, 2006 21:47:00 UTC",Discovery,STS-116,Space Shuttle,12d,21h,0m,0s,,,
890,"Sat Apr 07, 2007 17:31 UTC","Sun Oct 21, 2007 10:36:00 UTC",Soyuz FG,Soyuz TMA-10,International Space Station,196d,17h,5m,0s,,,
867,"Fri Jun 08, 2007 23:38 UTC","Fri Jun 22, 2007 19:38:00 UTC",Atlantis,STS-117,Space Shuttle,13d,20h,0m,0s,,,
858,"Wed Aug 08, 2007 22:36 UTC","Tue Aug 21, 2007 16:36:00 UTC",Endeavour,STS-118,Space Shuttle,12d,18h,0m,0s,,,
857,"Wed Oct 10, 2007 13:22 UTC","Sat Apr 19, 2008 08:39:00 UTC",Soyuz FG,Soyuz TMA-11,International Space Station,191d,19h,17m,0s,,,
847,"Tue Oct 23, 2007 03:38 UTC","Wed Nov 07, 2007 05:38:00 UTC",Discovery,STS-120,Space Shuttle,15d,02h,0m,0s,,,
